# x_m,y_m,w_tr_right_m,w_tr_left_m
6.968064516129032,0.1675612903225806,0.22,0.22
6.998387096774193,0.200474193548387,0.22,0.22
7.0206451612903225,0.2249322580645161,0.22,0.22
7.042903225806452,0.2493838709677419,0.22,0.22
7.065483870967742,0.2738290322580645,0.22,0.22
7.087741935483871,0.2982645161290322,0.22,0.22
7.11,0.3226774193548387,0.22,0.22
7.132258064516129,0.3470967741935484,0.22,0.22
7.154516129032258,0.3714838709677419,0.22,0.22
7.176774193548387,0.3958387096774193,0.22,0.22
7.199032258064515,0.4201935483870967,0.22,0.22
7.221290322580645,0.444516129032258,0.22,0.22
7.243548387096775,0.4688064516129032,0.22,0.22
7.265806451612904,0.4930967741935483,0.22,0.22
7.28774193548387,0.5173225806451612,0.22,0.22
7.31,0.5415483870967742,0.22,0.22
7.331935483870968,0.565741935483871,0.22,0.22
7.354193548387096,0.5899032258064516,0.22,0.22
7.376129032258064,0.6140322580645161,0.22,0.22
7.398387096774194,0.6381612903225807,0.22,0.22
7.420322580645161,0.6622258064516129,0.22,0.22
7.442258064516129,0.6862903225806452,0.22,0.22
7.464193548387096,0.7103548387096774,0.22,0.22
7.486129032258065,0.7343548387096774,0.22,0.22
7.508064516129032,0.7583548387096775,0.22,0.22
7.53,0.7823225806451612,0.22,0.22
7.551935483870968,0.8062903225806451,0.22,0.22
7.573870967741935,0.8302258064516128,0.22,0.22
7.595483870967742,0.8541290322580646,0.22,0.22
7.617419354838709,0.8780322580645161,0.22,0.22
7.639354838709677,0.9019354838709678,0.22,0.22
7.661290322580645,0.9258064516129032,0.22,0.22
7.682903225806451,0.9496774193548388,0.22,0.22
7.70483870967742,0.9735483870967742,0.22,0.22
7.726451612903226,0.9973870967741936,0.22,0.22
7.748387096774193,1.021258064516129,0.22,0.22
7.7703225806451615,1.0450645161290322,0.22,0.22
7.791935483870968,1.0689032258064517,0.22,0.22
7.813870967741935,1.092709677419355,0.22,0.22
7.835483870967742,1.1165483870967745,0.22,0.22
7.85741935483871,1.1403548387096774,0.22,0.22
7.879032258064516,1.1641290322580646,0.22,0.22
7.900967741935484,1.1879354838709677,0.22,0.22
7.922580645161291,1.211709677419355,0.22,0.22
7.944516129032258,1.2354838709677418,0.22,0.22
7.966129032258064,1.259258064516129,0.22,0.22
7.988064516129032,1.2830322580645162,0.22,0.22
8.01,1.3068064516129032,0.22,0.22
8.031612903225806,1.3305483870967745,0.22,0.22
8.053548387096773,1.354290322580645,0.22,0.22
8.075483870967743,1.378032258064516,0.22,0.22
8.097096774193549,1.401741935483871,0.22,0.22
8.119032258064516,1.4254516129032258,0.22,0.22
8.140967741935484,1.4491612903225806,0.22,0.22
8.16258064516129,1.4728709677419354,0.22,0.22
8.184516129032257,1.4965483870967742,0.22,0.22
8.206451612903226,1.520225806451613,0.22,0.22
8.228387096774194,1.5439032258064516,0.22,0.22
8.25,1.5675806451612904,0.22,0.22
8.271935483870967,1.591225806451613,0.22,0.22
8.293870967741936,1.6148709677419355,0.22,0.22
8.315806451612904,1.638516129032258,0.22,0.22
8.337741935483871,1.6621612903225806,0.22,0.22
8.359677419354838,1.6858064516129032,0.22,0.22
8.381612903225806,1.7094516129032258,0.22,0.22
8.403225806451612,1.7330645161290323,0.22,0.22
8.425161290322581,1.756677419354839,0.22,0.22
8.447096774193549,1.7803225806451612,0.22,0.22
8.469032258064518,1.803935483870968,0.22,0.22
8.490967741935485,1.8275806451612904,0.22,0.22
8.51290322580645,1.8511935483870967,0.22,0.22
8.53483870967742,1.8748387096774195,0.22,0.22
8.556774193548387,1.898483870967742,0.22,0.22
8.578709677419354,1.9221290322580644,0.22,0.22
8.600645161290323,1.9457741935483872,0.22,0.22
8.62258064516129,1.9694193548387096,0.22,0.22
8.644516129032258,1.9930967741935484,0.22,0.22
8.666129032258064,2.016741935483871,0.22,0.22
8.688064516129032,2.040419354838709,0.22,0.22
8.709999999999999,2.0640967741935485,0.22,0.22
8.731935483870968,2.087806451612903,0.22,0.22
8.753870967741936,2.111483870967742,0.22,0.22
8.775806451612903,2.1351935483870967,0.22,0.22
8.797741935483872,2.158903225806452,0.22,0.22
8.81967741935484,2.1826129032258064,0.22,0.22
8.841612903225805,2.2063548387096774,0.22,0.22
8.863548387096774,2.2300645161290324,0.22,0.22
8.885483870967741,2.253806451612903,0.22,0.22
8.90741935483871,2.277516129032258,0.22,0.22
8.929354838709678,2.301258064516129,0.22,0.22
8.951290322580645,2.325,0.22,0.22
8.973548387096775,2.3487096774193548,0.22,0.22
8.995483870967742,2.372451612903226,0.22,0.22
9.01741935483871,2.396161290322581,0.22,0.22
9.03935483870968,2.4198709677419354,0.22,0.22
9.061290322580644,2.443548387096774,0.22,0.22
9.083548387096773,2.467258064516129,0.22,0.22
9.105483870967742,2.490935483870968,0.22,0.22
9.12741935483871,2.51458064516129,0.22,0.22
9.149677419354838,2.5382258064516128,0.22,0.22
9.171612903225808,2.561870967741936,0.22,0.22
9.193870967741937,2.585483870967742,0.22,0.22
9.216129032258063,2.6090645161290325,0.22,0.22
9.238064516129032,2.6326129032258065,0.22,0.22
9.26032258064516,2.6561290322580646,0.22,0.22
9.282580645161293,2.6796451612903227,0.22,0.22
9.30483870967742,2.7031290322580643,0.22,0.22
9.327096774193548,2.7265806451612904,0.22,0.22
9.349354838709678,2.7499677419354835,0.22,0.22
9.371612903225806,2.7733548387096776,0.22,0.22
9.393870967741934,2.7966774193548387,0.22,0.22
9.416129032258064,2.82,0.22,0.22
9.438709677419356,2.8432580645161294,0.22,0.22
9.460967741935484,2.866483870967742,0.22,0.22
9.483548387096777,2.8896451612903222,0.22,0.22
9.505806451612903,2.9127741935483877,0.22,0.22
9.528387096774193,2.9358709677419355,0.22,0.22
9.550967741935484,2.958935483870968,0.22,0.22
9.573548387096771,2.981935483870968,0.22,0.22
9.596129032258066,3.0048709677419354,0.22,0.22
