# s_m, x_m, y_m, vx_mps
0.0,137.9025827,4.6964546,19.9616599
0.9995308,138.5749582,5.4360308,20.0
1.9990615,139.2476498,6.1753195,20.0
2.9985923,139.9206627,6.9143157,20.0
3.998123,140.5940029,7.6530137,20.0
4.9976538,141.2676776,8.3914067,20.0
5.9971845,141.9416945,9.1294872,20.0
6.9967153,142.6160616,9.8672479,20.0
7.9962461,143.2907873,10.6046805,20.0
8.9957768,143.9658852,11.3417725,20.0
9.9953076,144.6413803,12.0785004,20.0
10.9948383,145.3173028,12.8148362,20.0
11.9943691,145.9936834,13.5507513,20.0
12.9938998,146.6705527,14.2862169,20.0
13.9934306,147.3479413,15.0212042,20.0
14.9929614,148.0258798,15.7556844,20.0
15.9924921,148.7043986,16.4896284,20.0
16.9920229,149.383528,17.2230075,20.0
17.9915536,150.0632985,17.9557924,20.0
18.9910844,150.7437401,18.6879542,20.0
19.9906151,151.4248831,19.4194635,20.0
20.9901459,152.1067574,20.1502911,20.0
21.9896767,152.789393,20.8804077,20.0
22.9892074,153.4728197,21.6097838,20.0
23.9887382,154.1570673,22.3383899,20.0
24.9882689,154.8421654,23.0661963,20.0
25.9877997,155.5281436,23.7931733,20.0
26.9873304,156.2150312,24.519291,20.0
27.9868612,156.9028576,25.2445195,20.0
28.986392,157.5916519,25.9688287,20.0
29.9859227,158.2814433,26.6921885,20.0
30.9854535,158.9722606,27.4145686,20.0
31.9849842,159.6641326,28.1359385,20.0
32.984515,160.3570879,28.8562678,20.0
33.9840458,161.0511552,29.5755258,20.0
34.9835765,161.7463628,30.2936816,20.0
35.9831073,162.4427389,31.0107044,20.0
36.982638,163.1403116,31.7265631,20.0
37.9821688,163.8391088,32.4412265,20.0
38.9816995,164.5391582,33.1546633,20.0
39.9812303,165.2404875,33.866842,20.0
40.9807611,165.9431241,34.5777309,20.0
41.9802918,166.6470952,35.2872983,20.0
42.9798226,167.3524279,35.9955122,20.0
43.9793533,168.059149,36.7023405,20.0
44.9788841,168.7672852,37.4077511,20.0
45.9784148,169.4768632,38.1117115,20.0
46.9779456,170.1879087,38.8141888,20.0
47.9774764,170.9004399,39.5151588,20.0
48.9770071,171.6144471,40.2146264,20.0
49.9765379,172.3299139,40.9126012,20.0
50.9760686,173.0468243,41.6090932,20.0
51.9755994,173.7651627,42.3041123,20.0
52.9751301,174.4849136,42.9976687,20.0
53.9746609,175.2060615,43.6897724,20.0
54.9741917,175.9285913,44.3804335,20.0
55.9737224,176.6524879,45.0696619,20.0
56.9732532,177.3777364,45.7574678,20.0
57.9727839,178.1043219,46.4438613,20.0
58.9723147,178.8322296,47.1288524,20.0
59.9718454,179.5614451,47.8124514,20.0
60.9713762,180.2919538,48.4946683,20.0
61.970907,181.0237412,49.1755134,20.0
62.9704377,181.7567932,49.8549969,20.0
63.9699685,182.4910955,50.5331292,20.0
64.9694992,183.2266339,51.2099205,20.0
65.96903,183.9633943,51.8853814,20.0
66.9685607,184.7013628,52.5595222,20.0
67.9680915,185.4405254,53.2323536,20.0
68.9676223,186.1808682,53.9038862,20.0
69.967153,186.9223774,54.5741306,20.0
70.9666838,187.6650391,55.2430978,20.0
71.9662145,188.4088395,55.9107985,20.0
72.9657453,189.153765,56.5772439,20.0
73.965276,189.8998018,57.2424448,20.0
74.9648068,190.6469363,57.9064127,20.0
75.9643376,191.3951548,58.5691586,20.0
76.9638683,192.1444436,59.2306941,20.0
77.9633991,192.8947892,59.8910305,20.0
78.9629298,193.646178,60.5501796,20.0
79.9624606,194.3985963,61.208153,20.0
80.9619913,195.1520308,61.8649626,20.0
81.9615221,195.9064677,62.5206202,20.0
82.9610529,196.6618937,63.1751378,20.0
83.9605836,197.4182953,63.8285275,20.0
84.9601144,198.1756591,64.4808016,20.0
85.9596451,198.9339716,65.1319722,20.0
86.9591759,199.6932195,65.7820516,20.0
87.9587066,200.4533896,66.4310524,20.0
88.9582374,201.2144687,67.0789868,20.0
89.9577682,201.9764435,67.7258674,20.0
90.9572989,202.739301,68.3717065,20.0
91.9568297,203.5030283,69.0165167,20.0
92.9563604,204.2676129,69.6603107,20.0
