# s_m, x_m, y_m, vx_mps
0.0,6.8895116,0.2320777,5.0
0.0299917,6.911286,0.2527025,5.0
0.0599835,6.9330511,0.273337,5.0
0.0899752,6.9548073,0.293981,5.0
0.1199669,6.9765546,0.3146342,5.0
0.1499586,6.9982933,0.3352965,5.0
0.1799504,7.0200236,0.3559677,5.0
0.2099421,7.0417458,0.3766475,5.0
0.2399338,7.0634599,0.3973356,5.0
0.2699255,7.0851663,0.4180319,5.0
0.2999173,7.1068651,0.4387361,5.0
0.329909,7.1285566,0.459448,5.0
0.3599007,7.1502409,0.4801675,5.0
0.3898925,7.1719183,0.5008941,5.0
0.4198842,7.193589,0.5216278,5.0
0.4498759,7.2152531,0.5423683,5.0
0.4798676,7.236911,0.5631154,5.0
0.5098594,7.2585627,0.5838688,5.0
0.5398511,7.2802086,0.6046284,5.0
0.5698428,7.3018488,0.6253939,5.0
0.5998345,7.3234836,0.646165,5.0
0.6298263,7.3451132,0.6669416,5.0
0.659818,7.3667377,0.6877234,5.0
0.6898097,7.3883575,0.7085101,5.0
0.7198015,7.4099726,0.7293017,5.0
0.7497932,7.4315834,0.7500978,5.0
0.7797849,7.45319,0.7708982,5.0
0.8097766,7.4747928,0.7917027,5.0
0.8397684,7.4963917,0.812511,5.0
0.8697601,7.5179872,0.833323,5.0
0.8997518,7.5395795,0.8541384,5.0
0.9297435,7.5611686,0.8749569,5.0
0.9597353,7.5827549,0.8957784,5.0
0.989727,7.6043386,0.9166026,5.0
1.0197187,7.6259199,0.9374293,5.0
1.0497105,7.647499,0.9582583,5.0
1.0797022,7.6690762,0.9790893,5.0
1.1096939,7.6906516,0.9999221,5.0
1.1396856,7.7122255,1.0207565,5.0
1.1696774,7.7337981,1.0415922,5.0
1.1996691,7.7553696,1.062429,5.0
1.2296608,7.7769402,1.0832668,5.0
1.2596525,7.7985102,1.1041052,5.0
1.2896443,7.8200798,1.124944,5.0
1.319636,7.8416492,1.145783,5.0
1.3496277,7.8632186,1.166622,5.0
1.3796195,7.8847883,1.1874607,5.0
1.4096112,7.9063584,1.208299,5.0
1.4396029,7.9279293,1.2291365,5.0
1.4695946,7.949501,1.2499731,5.0
1.4995864,7.9710739,1.2708085,5.0
1.5295781,7.9926482,1.2916425,5.0
1.5595698,8.014224,1.3124748,5.0
1.5895615,8.0358017,1.3333053,5.0
1.6195533,8.0573813,1.3541337,5.0
1.649545,8.0789633,1.3749598,5.0
1.6795367,8.1005477,1.3957833,5.0
1.7095285,8.1221347,1.416604,5.0
1.7395202,8.1437248,1.4374216,5.0
1.7695119,8.1653179,1.4582361,5.0
1.7995036,8.1869144,1.479047,5.0
1.8294954,8.2085145,1.4998542,5.0
1.8594871,8.2301184,1.5206575,5.0
1.8894788,8.2517263,1.5414565,5.0
1.9194705,8.2733385,1.5622512,5.0
1.9494623,8.2949551,1.5830412,5.0
1.979454,8.3165765,1.6038264,5.0
2.0094457,8.3382027,1.6246064,5.0
2.0394375,8.3598341,1.645381,5.0
2.0694292,8.3814709,1.6661501,5.0
2.0994209,8.4031132,1.6869134,5.0
2.1294126,8.4247613,1.7076707,5.0
2.1594044,8.4464154,1.7284216,5.0
2.1893961,8.4680758,1.7491661,5.0
2.2193878,8.4897427,1.7699037,5.0
2.2493795,8.5114162,1.7906345,5.0
2.2793713,8.5330966,1.811358,5.0
2.309363,8.5547841,1.832074,5.0
2.3393547,8.576479,1.8527824,5.0
2.3693465,8.5981814,1.8734828,5.0
2.3993382,8.6198916,1.8941751,5.0
2.4293299,8.6416098,1.914859,5.0
2.4593216,8.6633363,1.9355343,5.0
2.4893134,8.6850711,1.9562007,5.0
2.5193051,8.7068146,1.976858,5.0
2.5492968,8.7285669,1.997506,5.0
2.5792885,8.7503283,2.0181444,5.0
2.6092803,8.7720991,2.038773,5.0
2.639272,8.7938793,2.0593915,5.0
2.6692637,8.8156692,2.0799998,5.0
2.6992555,8.8374691,2.1005976,5.0
2.7292472,8.8592792,2.1211846,5.0
2.7592389,8.8810996,2.1417606,5.0
2.7892306,8.9029306,2.1623254,5.0
2.8192224,8.9247724,2.1828787,5.0
2.8492141,8.9466253,2.2034203,5.0
2.8792058,8.9684893,2.2239499,5.0
2.9091975,8.9903648,2.2444674,5.0
2.9391893,9.0122519,2.2649724,5.0
2.969181,9.0341509,2.2854649,5.0
2.9991727,9.0560619,2.3059444,5.0
3.0291645,9.0779853,2.3264107,5.0
3.0591562,9.0999211,2.3468637,5.0
3.0891479,9.1218696,2.367303,5.0
3.1191396,9.143831,2.3877285,5.0
3.1491314,9.1658056,2.4081399,5.0
3.1791231,9.1877934,2.4285369,5.0
3.2091148,9.2097948,2.4489194,5.0
3.2391065,9.2318099,2.469287,5.0
3.2690983,9.2538389,2.4896395,5.0
3.29909,9.2758821,2.5099768,5.0
3.3290817,9.2979397,2.5302984,5.0
3.3590735,9.3200117,2.5506043,5.0
3.3890652,9.3420986,2.5708941,5.0
3.4190569,9.3642003,2.5911676,5.0
3.4490486,9.3863173,2.6114246,5.0
3.4790404,9.4084496,2.6316648,5.0
3.5090321,9.4305974,2.651888,5.0
3.5390238,9.452761,2.6720939,5.0
3.5690155,9.4749405,2.6922823,5.0
3.5990073,9.4971362,2.712453,5.0
3.628999,9.5193483,2.7326056,5.0
3.6589907,9.5415769,2.75274,5.0
3.6889825,9.5638222,2.7728559,5.0
3.7189742,9.5860845,2.792953,5.0
3.7489659,9.6083639,2.8130312,5.0
3.7789576,9.6306607,2.8330901,5.0
3.8089494,9.6529749,2.8531295,5.0
3.8389411,9.6753069,2.8731491,5.0
3.8689328,9.6976568,2.8931488,5.0
3.8989245,9.7200247,2.9131283,5.0
3.9289163,9.742411,2.9330872,5.0
3.958908,9.7648157,2.9530254,5.0
3.9888997,9.7872391,2.9729426,5.0
4.0188915,9.8096813,2.9928386,5.0
4.0488832,9.8321426,3.0127131,5.0
4.0788749,9.854623,3.0325658,5.0
4.1088666,9.8771229,3.0523966,5.0
4.1388584,9.8996424,3.0722051,5.0
4.1688501,9.9221816,3.0919911,5.0
4.1988418,9.9447408,3.1117543,5.0
4.2288335,9.9673202,3.1314945,5.0
4.2588253,9.9899198,3.1512115,5.0
4.288817,10.01254,3.1709049,5.0
4.3188087,10.0351808,3.1905746,5.0
4.3488005,10.0578425,3.2102202,5.0
4.3787922,10.0805252,3.2298415,5.0
4.4087839,10.1032292,3.2494383,5.0
4.4387756,10.1259545,3.2690103,5.0
4.4687674,10.1487013,3.2885573,5.0
4.4987591,10.1714699,3.3080789,5.0
4.5287508,10.1942604,3.3275749,5.0
4.5587425,10.217073,3.3470451,5.0
4.5887343,10.2399078,3.3664893,5.0
4.618726,10.262765,3.385907,5.0
4.6487177,10.2856449,3.4052981,5.0
4.6787095,10.3085474,3.4246624,5.0
4.7087012,10.3314729,3.4439996,5.0
4.7386929,10.3544215,3.4633093,5.0
4.7686846,10.3773934,3.4825914,5.0
4.7986764,10.4003886,3.5018456,5.0
4.8286681,10.4234075,3.5210716,5.0
4.8586598,10.44645,3.5402691,5.0
4.8886515,10.4695165,3.5594379,5.0
4.9186433,10.492607,3.5785777,5.0
4.948635,10.5157217,3.5976883,5.0
