 x_m, y_m, vx_mps
4.5807064,-4.2681061,5.5145604
4.6318809,-4.2993486,5.5197711
4.6830927,-4.3305299,5.5249457
4.734334,-4.3616624,5.5300845
4.7855973,-4.3927585,5.5351878
4.8368752,-4.4238306,5.5402558
4.88816,-4.4548911,5.5452888
4.9394441,-4.4859527,5.5502871
4.9907201,-4.5170276,5.555251
5.0419802,-4.5481286,5.5601808
5.093217,-4.579268,5.5650766
5.1444226,-4.6104584,5.5699389
5.1955895,-4.6417123,5.5747678
5.2467099,-4.673042,5.5795635
5.297776,-4.7044599,5.5843265
5.3487799,-4.7359783,5.5890569
5.399714,-4.7676092,5.5937549
5.4505704,-4.7993647,5.5911381
5.5013411,-4.8312564,5.5378373
5.5520184,-4.8632959,5.4852746
5.6025944,-4.8954944,5.4333941
5.6530615,-4.9278627,5.3821356
5.7034121,-4.9604113,5.331434
5.7536386,-4.9931501,5.2812191
5.8037338,-5.0260887,5.231416
5.8536905,-5.0592359,5.1819448
5.903502,-5.0926003,5.132721
5.9531617,-5.1261893,5.0836556
6.0026635,-5.1600102,5.0346554
6.0520017,-5.1940692,4.9856239
6.1011714,-5.228372,4.936463
6.1501671,-5.2629232,4.8870624
6.1989873,-5.2977284,4.8373531
6.2476211,-5.3327862,4.7871277
6.2960687,-5.3680993,4.736372
6.3443617,-5.4036591,4.6830479
6.3925278,-5.43941,4.6236286
6.4405823,-5.4752939,4.5590609
6.488534,-5.5112513,4.4894712
6.5364514,-5.5472734,4.4152467
6.5843587,-5.5833246,4.3368209
6.6322746,-5.6193757,4.2573374
6.680207,-5.6554113,4.1769511
6.7281552,-5.6914271,4.0953561
6.7761165,-5.7274219,4.0125083
6.824088,-5.7633941,3.9283777
6.8720732,-5.7993456,3.8429588
6.9200786,-5.8352792,3.7562511
6.9681029,-5.8711909,3.667763
7.0161412,-5.9070817,3.5770819
7.0641745,-5.9429734,3.4868591
7.112168,-5.9789097,3.3994705
7.160068,-6.0149606,3.3172724
7.2077932,-6.0512319,3.2416768
7.2552597,-6.0878626,3.1723483
7.302367,-6.1249813,3.1085631
7.3489977,-6.1626929,3.0496668
7.3950505,-6.2011029,2.995022
7.4404266,-6.2403045,2.9440021
7.4850288,-6.2803788,2.8959865
7.5287629,-6.3213935,2.8503576
7.5715375,-6.3634034,2.8064991
7.6132651,-6.4064501,2.7637964
7.6538619,-6.4505624,2.7216396
7.693249,-6.495757,2.6794276
7.7313524,-6.5420389,2.6365793
7.7681028,-6.5894033,2.5930484
7.8034357,-6.6378354,2.5483276
7.8372907,-6.6873145,2.5019523
7.8696118,-6.7378154,2.453382
7.9003135,-6.7893181,2.4067005
7.9292363,-6.8418389,2.3626174
7.9562056,-6.8953914,2.3209346
7.9810406,-6.9499669,2.2814934
8.0035586,-7.0055384,2.2441357
8.0235752,-7.0620578,2.2087266
8.0409058,-7.1194548,2.17516
8.0553673,-7.1776362,2.1433735
8.0667789,-7.2364846,2.1133679
8.0749638,-7.2958575,2.0852346
8.0797497,-7.3555862,2.0591945
8.0809692,-7.4155188,2.0356233
8.0784503,-7.4754515,2.0151627
8.0720296,-7.5350741,1.9988831
8.061551,-7.5940931,1.9864148
8.0469109,-7.6521856,1.9757707
8.0280696,-7.7090802,1.9671759
8.005016,-7.7644619,1.961305
7.977835,-7.8178845,1.9554164
7.9469286,-7.8691746,1.9593144
7.9128603,-7.9185591,1.9828988
7.8763302,-7.9660743,2.0226943
7.8378523,-8.0120018,2.0752329
7.7978664,-8.0566103,2.1261703
7.7566728,-8.1001473,2.1756207
7.7144649,-8.1427432,2.2236851
7.6714571,-8.1842932,2.2704532
7.6274458,-8.2249159,2.3160051
7.5822717,-8.2644001,2.3604129
7.5358279,-8.3024239,2.4012195
7.4880783,-8.3387576,2.4306738
7.4390154,-8.3732453,2.4523459
7.3886568,-8.4057709,2.4685613
7.3370391,-8.4362406,2.4808598
7.2842162,-8.4645729,2.4903032
7.2302578,-8.4906963,2.497697
7.1752471,-8.5145497,2.5037229
7.119278,-8.5360862,2.5090161
7.0624519,-8.5552751,2.5142061
7.004875,-8.5721061,2.5199319
6.9466549,-8.5865904,2.5268417
6.8879667,-8.5987502,2.5355833
6.8288655,-8.6086599,2.54698
6.7694249,-8.6164072,2.5616776
6.7097356,-8.6220973,2.5801885
6.6498782,-8.6258567,2.6029662
6.5899225,-8.6278309,2.6304052
6.5299795,-8.6281821,2.6628488
6.4700498,-8.6270877,2.6996443
6.4101372,-8.6247319,2.7357287
6.3502635,-8.6213062,2.7711311
6.2904435,-8.6170081,2.8058787
6.2306896,-8.6120389,2.8399966
6.1709746,-8.6065991,2.8735086
6.1112752,-8.6008898,2.9064367
6.0515855,-8.5951134,2.9388017
5.9918992,-8.589471,2.9706233
5.9321919,-8.5841594,3.0019198
5.8723912,-8.5793687,3.0258361
5.8125452,-8.5752948,2.9629517
5.7526613,-8.5721233,2.905935
5.6927533,-8.5700321,2.8543045
5.6328405,-8.5691892,2.8075504
5.5728928,-8.5697521,2.7648149
5.5129265,-8.5718709,2.7268575
5.4530633,-8.5756989,2.6935853
5.3933659,-8.5813856,2.6646069
5.3339066,-8.5890662,2.6394626
5.2747698,-8.5988586,2.6176724
5.21605,-8.610862,2.5987027
5.1578498,-8.6251553,2.5819819
5.1002787,-8.6417966,2.5669031
5.0434497,-8.6608223,2.5528346
4.9874632,-8.6822539,2.5391121
4.9324397,-8.7060859,2.5253343
4.8785135,-8.7322838,2.511311
4.8257928,-8.7608027,2.4964558
4.7743346,-8.7916085,2.4801713
4.7242364,-8.8246276,2.4617809
4.6755901,-8.8597658,2.440537
4.6284697,-8.8969126,2.4155577
4.5829354,-8.9359329,2.3857401
4.5390251,-8.9766662,2.3496771
4.4966973,-9.0189783,2.3056174
4.455733,-9.0628937,2.2516234
4.416315,-9.1080012,2.1868056
4.3783125,-9.154291,2.111639
4.3417766,-9.2017773,2.0360799
4.3069599,-9.2506064,1.9706076
4.2744811,-9.300842,1.9245673
4.2449271,-9.3529673,1.9024624
4.2191424,-9.4072126,1.8967845
4.197862,-9.4631568,1.8910897
4.1810601,-9.520594,1.8913538
4.168653,-9.5792258,1.8975652
4.1606297,-9.6386521,1.9059242
4.15695,-9.6985068,1.915966
4.1575874,-9.7584668,1.9258633
4.1625177,-9.81822,1.9346298
4.1715863,-9.8774854,1.9462307
4.184459,-9.9360481,1.9658175
4.2007077,-9.9937769,1.9953298
4.2198497,-10.0506262,2.0357521
4.2413687,-10.1066306,2.087818
4.2647314,-10.1618928,2.1383822
4.2893801,-10.2165294,2.1874853
4.3148146,-10.2708229,2.2352251
4.3405097,-10.3250196,2.2816891
4.3659263,-10.3793566,2.3224977
4.3905161,-10.4340642,2.242126
4.413721,-10.4893529,2.1774411
4.4349765,-10.5453967,2.1281278
4.4537182,-10.6023132,2.0938144
4.4694072,-10.66018,2.073513
4.4815258,-10.7189105,2.0645351
4.4896886,-10.7783119,2.055804
4.493841,-10.8381328,2.0455363
4.4940658,-10.8981061,2.0302896
4.4904533,-10.9579803,2.0096816
4.4830814,-11.0175169,1.983878
4.4719958,-11.0764825,1.9536633
4.4571879,-11.134632,1.9216094
4.4385704,-11.1916756,1.8952713
4.4159547,-11.2472185,1.8808012
4.3891477,-11.3006741,1.8723146
4.3578637,-11.3520008,1.8667267
4.3226338,-11.4004093,1.8611221
4.2846333,-11.4466193,1.9014609
4.2458331,-11.4920341,1.957985
4.2075276,-11.5381087,2.0125976
4.1686361,-11.5833687,2.0654522
4.1274206,-11.6269079,2.0978056
4.0837631,-11.6678829,2.1063381
4.0374812,-11.7062907,2.110986
3.9889603,-11.7418291,2.1165426
3.9386191,-11.7742874,2.1233002
3.8864288,-11.8037499,2.130555
3.832574,-11.8301189,2.1373166
3.7772532,-11.8532908,2.142983
3.7206664,-11.873192,2.1483738
3.6630737,-11.8897496,2.1537712
3.6046187,-11.9029134,2.1579782
3.545479,-11.9126058,2.1602261
3.4858609,-11.9187618,2.1610245
3.4259769,-11.9213835,2.1627675
3.366032,-11.9205359,2.1670371
3.3062136,-11.9163336,2.1748839
3.2466841,-11.9089388,2.1872708
3.1875993,-11.8985617,2.2050336
3.1291517,-11.8854715,2.2289207
3.0712821,-11.8699212,2.2597815
3.0140068,-11.852201,2.2979989
2.9573087,-11.8326168,2.3428543
2.9011473,-11.8114878,2.3866055
2.8455101,-11.7891641,2.4293135
2.7902495,-11.7659568,2.4710342
2.7352124,-11.7421542,2.511818
2.6803316,-11.7179591,2.5517114
2.6255762,-11.6934809,2.5907568
2.5709366,-11.6688077,2.6289936
2.5163469,-11.6440025,2.6664577
2.4617787,-11.6191377,2.7031827
2.4072216,-11.5942607,2.7391996
2.3526724,-11.5693896,2.7745373
2.2981003,-11.5445207,2.8092225
2.2435209,-11.519671,2.8432805
2.1889429,-11.494841,2.8767348
2.1343912,-11.4699902,2.9096072
2.0798899,-11.4450202,2.9419186
2.0254624,-11.4198036,2.9736884
1.9712168,-11.3942224,3.0049348
1.9172313,-11.3681341,3.0356751
1.8635879,-11.3414001,3.0659257
1.8103496,-11.3138793,3.095702
1.7575309,-11.2854104,3.1250186
1.7052935,-11.2559191,3.0885077
1.653728,-11.2253055,3.0561664
1.602926,-11.1934824,3.0280528
1.5529793,-11.160376,3.0037709
1.5039785,-11.1259258,2.9828923
1.4559043,-11.0900024,2.9647259
1.4089505,-11.0526469,2.9487484
1.3632017,-11.0138438,2.934377
1.3187358,-10.9735925,2.920951
1.2756225,-10.931907,2.907706
1.2339208,-10.8888156,2.8944404
1.1936766,-10.8443613,2.8805539
1.1549191,-10.798602,2.8650206
1.1176567,-10.7516133,2.8465367
1.0818717,-10.7034939,2.8234079
1.0475078,-10.6543699,2.793268
1.0144632,-10.6044073,2.7532048
0.9825591,-10.5538074,2.6977563
0.9514842,-10.5024778,2.6281533
0.9212809,-10.4506761,2.550422
0.8919598,-10.398447,2.469401
0.8635748,-10.3456782,2.3921736
0.8363443,-10.2923044,2.3224398
0.810556,-10.2381871,2.2618253
0.7865703,-10.1832024,2.2111659
0.7648397,-10.1273946,2.1713684
0.7457301,-10.0705802,2.1435148
0.7297001,-10.0127812,2.1288238
0.7172024,-9.9540991,2.1224705
0.7085215,-9.8948167,2.116098
0.7036252,-9.8350903,2.1138784
0.7024054,-9.7751593,2.1168005
0.7047459,-9.7152497,2.123678
0.7105206,-9.6555645,2.133882
0.7195877,-9.5962837,2.1472099
0.7317838,-9.537565,2.1637782
0.7469107,-9.4795764,2.1839405
0.7647689,-9.4223629,2.208301
0.7851272,-9.3659843,2.2374392
0.8077345,-9.3104639,2.2719775
0.832324,-9.2557874,2.312556
0.8586162,-9.2019048,2.3570491
0.8863226,-9.1487319,2.4004582
0.9151479,-9.0961545,2.4428428
0.9447916,-9.0440319,2.4842567
0.9749476,-8.9921994,2.5247491
1.00532,-8.940491,2.5643652
1.0356272,-8.8887447,2.6031463
1.0655821,-8.8367938,2.5638485
1.0948859,-8.7844738,2.4845313
1.1232315,-8.7316299,2.4142292
1.1503043,-8.6781248,2.3523691
1.1757861,-8.6238461,2.2983333
1.1993582,-8.5687134,2.2514421
1.2207078,-8.5126843,2.2109454
1.2395333,-8.4557589,2.176032
1.2555517,-8.3979817,2.1458633
1.2685038,-8.3394415,2.1196342
1.2781586,-8.2802689,2.0966618
1.2843139,-8.220633,2.0764979
1.2867949,-8.1607376,2.0590633
1.285449,-8.1008191,2.0448078
1.2801378,-8.0411474,2.0349119
1.2707102,-7.9818987,2.0288388
1.2570844,-7.9234278,2.0227474
1.2393576,-7.8660935,2.018428
1.2179125,-7.8101552,2.0236209
1.1934251,-7.7555603,2.0495745
1.16664,-7.7017958,2.101285
1.1388703,-7.6488551,2.1514541
1.1110443,-7.5958544,2.200189
1.0836945,-7.5424118,2.2475847
1.0568398,-7.4892386,2.2937259
1.0293839,-7.4360879,2.3386885
1.0004729,-7.3834683,2.3825407
0.9696954,-7.3319326,2.412154
0.9369065,-7.2817299,2.4295436
0.902026,-7.2329729,2.4401158
0.8650251,-7.1857651,2.4465015
0.8259138,-7.1402256,2.4498759
0.7847304,-7.0964891,2.4507806
0.7415413,-7.054704,2.4495171
0.6966219,-7.0151777,2.4462917
0.6497831,-6.9777865,2.4418039
0.6011331,-6.942682,2.436239
0.5507918,-6.9100002,2.4298237
0.4989545,-6.8798952,2.422831
0.4456893,-6.8524185,2.4159165
0.3910867,-6.8276241,2.4096427
0.3353065,-6.8055802,2.4043059
0.2785277,-6.786334,2.4002097
0.2208718,-6.7698882,2.3979578
0.1624813,-6.7562337,2.3980323
0.1035229,-6.7453586,2.4000754
0.0441152,-6.7372606,2.4031276
-0.0156332,-6.7319921,2.4041202
-0.0755513,-6.7296178,2.4030842
-0.1354757,-6.7301821,2.4004671
-0.195329,-6.7337113,2.3968703
-0.2549894,-6.7402175,2.3931409
-0.3142226,-6.7496768,2.3899679
-0.3728577,-6.762043,2.3876254
-0.4307488,-6.7772532,2.3863025
-0.4880527,-6.7953292,2.3861641
-0.5443954,-6.8161279,2.3877736
-0.5996508,-6.8395481,2.3911308
-0.6537164,-6.8654797,2.3963222
-0.7065238,-6.8938071,2.4036476
-0.7580493,-6.9244074,2.4138888
-0.8083181,-6.9571275,2.4288728
-0.8574161,-6.9917204,2.452404
-0.9054934,-7.0276899,2.4707082
-0.9528782,-7.064039,2.3748348
-1.0005796,-7.0999468,2.271396
-1.0487864,-7.1353694,2.1634214
