# x_m,y_m
0.0,0.0
1.2200000000000001e-17,0.2
2.4499999999999998e-17,0.4
3.67e-17,0.6
4.8999999999999995e-17,0.8
6.12e-17,1.0
7.35e-17,1.2
8.57e-17,1.4
9.799999999999999e-17,1.6
1.0999999999999999e-16,1.8
1.2199999999999999e-16,2.0
1.35e-16,2.2
1.47e-16,2.4
1.59e-16,2.6
1.71e-16,2.8
1.8399999999999998e-16,3.0
1.9599999999999998e-16,3.2
2.0799999999999998e-16,3.4
2.1999999999999998e-16,3.6
2.33e-16,3.8
2.45e-16,4.0
2.57e-16,4.2
2.69e-16,4.4
2.82e-16,4.6
2.94e-16,4.8
3.06e-16,5.0
3.18e-16,5.2
3.31e-16,5.4
3.43e-16,5.6
3.55e-16,5.8
3.67e-16,6.0
3.8e-16,6.2
3.9199999999999996e-16,6.4
4.04e-16,6.6
4.1599999999999996e-16,6.8
4.2899999999999997e-16,7.0
4.41e-16,7.2
4.53e-16,7.4
4.650000000000001e-16,7.6
4.780000000000001e-16,7.8
4.9e-16,8.0
5.020000000000001e-16,8.2
5.14e-16,8.4
5.27e-16,8.6
5.39e-16,8.8
5.51e-16,9.0
5.630000000000001e-16,9.2
5.76e-16,9.4
5.88e-16,9.6
6e-16,9.8
6.12e-16,10.0
-0.0062448,10.125
-0.024917,10.248000000000001
-0.055829,10.369
-0.098674,10.487
-0.15302,10.599
-0.21833,10.706
-0.29395,10.805
-0.37912,10.897
-0.47298999999999997,10.979000000000001
-0.57462,11.052
-0.683,11.114
-0.79705,11.165000000000001
-0.9156299999999999,11.204
-1.0375,11.232
-1.1616,11.247
-1.3616,11.247
-1.5615999999999999,11.247
-1.7616,11.247
-1.9616,11.247
-2.1616,11.247
-2.3616,11.247
-2.5616,11.247
-2.7616,11.247
-2.9616,11.247
-3.1616,11.247
-3.2863999999999995,11.241
-3.4098999999999995,11.222
-3.531,11.190999999999999
-3.6484,11.148
-3.7609000000000004,11.094
-3.8674,11.029
-3.9669,10.953
-4.0583,10.868
-4.1407,10.774
-4.2134,10.672
-4.2756,10.564
-4.3266,10.45
-4.366,10.331
-4.3934,10.209
-4.4084,10.084999999999999
-4.4084,9.885299999999999
-4.4084,9.6853
-4.4084,9.485299999999999
-4.4084,9.2853
-4.4084,9.0853
-4.4084,8.885299999999999
-4.4084,8.6853
-4.4084,8.485299999999999
-4.4084,8.2853
-4.4084,8.0853
-4.4084,7.885299999999999
-4.4084,7.6853
-4.4084,7.4853
-4.4084,7.285299999999999
-4.4084,7.085299999999999
-4.4084,6.885299999999999
-4.4084,6.6853
-4.4084,6.4853
-4.4084,6.2853
-4.4084,6.0853
-4.4084,5.8853
-4.4084,5.6853
-4.4084,5.4853000000000005
-4.4084,5.2853
-4.4084,5.0853
-4.4084,4.8853
-4.4084,4.6853
-4.4084,4.4853000000000005
-4.4084,4.2853
-4.4084,4.0853
-4.4084,3.8853
-4.4084,3.6853000000000002
-4.4084,3.4853
-4.4084,3.2853000000000003
-4.4084,3.0853
-4.4084,2.8853
-4.4084,2.6853000000000002
-4.4084,2.4853
-4.4084,2.2853000000000003
-4.4084,2.0853
-4.4084,1.8853000000000002
-4.4084,1.6853000000000002
-4.4084,1.4853
-4.4084,1.2852999999999999
-4.4084,1.0853
-4.4084,0.88529
-4.4084,0.68529
-4.4084,0.48529
-4.4084,0.28529
-4.4084,0.08529
-4.4022,-0.039501999999999995
-4.3835,-0.16305
-4.352600000000001,-0.28411
-4.3098,-0.40148
-4.2554,-0.51399
-4.1901,-0.62051
-4.1145000000000005,-0.71998
-4.0293,-0.8114000000000001
-3.9354999999999998,-0.89387
-3.8338,-0.96655
-3.7253999999999996,-1.0287000000000002
-3.6113999999999997,-1.0798
-3.4928,-1.1192
-3.3709000000000002,-1.1465
-3.2469,-1.1616
-3.0469,-1.1616
-2.8469,-1.1616
-2.6469,-1.1616
-2.4469000000000003,-1.1616
-2.2469,-1.1616
-2.0469,-1.1616
-1.8469000000000002,-1.1616
-1.6469,-1.1616
-1.4468999999999999,-1.1616
-1.2469,-1.1616
-1.1221,-1.1553
-0.99853,-1.1367
-0.87747,-1.1057000000000001
-0.7601,-1.0629
-0.64759,-1.0086
-0.54107,-0.9432499999999999
-0.44160000000000005,-0.8676299999999999
-0.35017,-0.78246
-0.26771,-0.68859
-0.19502999999999998,-0.58696
-0.13286,-0.47857000000000005
-0.08182,-0.36453
-0.042421,-0.24594999999999997
-0.015057000000000001,-0.12404
