 x_m, y_m, vx_mps
0.0047942,0.0485251,2.5430534
0.0083392,0.0783071,2.5570697
0.011448,0.1081379,2.5733754
0.0141491,0.1380084,2.5914541
0.0164711,0.1679109,2.6106442
0.0184423,0.1978386,2.6296374
0.0200912,0.2277859,2.648438
0.021446,0.257748,2.6670503
0.0225348,0.2877211,2.6854783
0.0233859,0.3177019,2.7037261
0.0240272,0.347688,2.7217973
0.0244867,0.3776775,2.7396957
0.0247922,0.407669,2.7574247
0.0249698,0.4376615,2.7749878
0.0250429,0.4676545,2.7923883
0.0250339,0.4976476,2.8096293
0.0249652,0.5276406,2.8267139
0.0248595,0.5576335,2.8436451
0.0247383,0.5876262,2.8604257
0.0246161,0.6176187,2.8770586
0.0244965,0.6476112,2.8935464
0.0243798,0.6776037,2.9098918
0.0242664,0.7075962,2.9260972
0.0241562,0.7375887,2.9421652
0.0240494,0.7675812,2.9580981
0.0239461,0.7975737,2.9738982
0.0238464,0.8275661,2.9895678
0.0237504,0.8575586,3.0051091
0.0236581,0.8875511,3.0205242
0.0235697,0.9175436,3.0358151
0.0234851,0.9475361,3.0509838
0.0234044,0.9775286,3.0660324
0.0233277,1.0075212,3.0809626
0.023255,1.0375137,3.0957764
0.0231863,1.0675062,3.1104756
0.0231216,1.0974988,3.1250618
0.0230609,1.1274913,3.1395368
0.0230042,1.1574839,3.1539022
0.0229515,1.1874765,3.1681597
0.0229028,1.2174691,3.1823109
0.022858,1.2474617,3.1963573
0.0228172,1.2774543,3.2103003
0.0227801,1.307447,3.2241415
0.022747,1.3374397,3.2378823
0.0227175,1.3674324,3.2515241
0.0226918,1.3974251,3.2650682
0.0226698,1.4274178,3.278516
0.0226513,1.4574106,3.2918687
0.0226364,1.4874033,3.3051278
0.0226248,1.517396,3.3182943
0.0226167,1.5473887,3.3313695
0.0226118,1.5773814,3.3443546
0.0226101,1.607374,3.3572508
0.0226115,1.6373667,3.3700591
0.0226159,1.6673594,3.3827808
0.0226232,1.697352,3.3954168
0.0226333,1.7273447,3.4079683
0.0226462,1.7573373,3.4204364
0.0226616,1.78733,3.4328219
0.0226796,1.8173226,3.445126
0.0226999,1.8473153,3.4573496
0.0227226,1.8773079,3.4694936
0.0227474,1.9073006,3.4815591
0.0227744,1.9372933,3.4935468
0.0228033,1.967286,3.5054579
0.0228341,1.9972786,3.517293
0.0228667,2.0272713,3.5290531
0.0229009,2.057264,3.5407391
0.0229367,2.0872567,3.5523518
0.0229739,2.1172495,3.5638919
0.0230124,2.1472422,3.5753604
0.0230522,2.1772349,3.5867579
0.0230931,2.2072276,3.5980854
0.0231351,2.2372204,3.6093434
0.0231779,2.2672131,3.6205329
0.0232216,2.2972059,3.6316545
0.023266,2.3271987,3.6427089
0.0233111,2.3571914,3.6536969
0.0233566,2.3871842,3.6646191
0.0234026,2.417177,3.6754762
0.0234489,2.4471698,3.6862689
0.0234955,2.4771626,3.696998
0.0235422,2.5071553,3.7076639
0.0235891,2.5371481,3.7182674
0.0236359,2.5671409,3.728809
0.0236826,2.5971337,3.7392895
0.0237291,2.6271265,3.7497093
0.0237754,2.6571193,3.7600692
0.0238214,2.6871122,3.7703696
0.023867,2.717105,3.7806112
0.0239121,2.7470978,3.7907946
0.0239568,2.7770906,3.8009203
0.0240008,2.8070834,3.8109888
0.0240442,2.8370762,3.8210006
0.0240868,2.867069,3.8309565
0.0241288,2.8970618,3.8408567
0.0241699,2.9270546,3.850702
0.0242101,2.9570473,3.8604927
0.0242495,2.98704,3.8702293
0.0242879,3.0170327,3.8799125
0.0243253,3.0470254,3.8895426
0.0243617,3.0770181,3.8991202
0.024397,3.1070108,3.9086456
0.0244313,3.1370035,3.9181195
0.0244644,3.1669963,3.9275422
0.0244964,3.196989,3.9369141
0.0245273,3.2269817,3.9462358
0.024557,3.2569745,3.9555077
0.0245855,3.2869672,3.9647302
0.0246128,3.31696,3.9739037
0.0246389,3.3469527,3.9830287
0.0246638,3.3769455,3.9921055
0.0246875,3.4069383,4.0011346
0.02471,3.4369311,4.0101164
0.0247313,3.4669239,4.0190513
0.0247514,3.4969167,4.0279396
0.0247703,3.5269094,4.0367818
0.024788,3.5569021,4.0455783
0.0248046,3.5868948,4.0543293
0.02482,3.6168875,4.0630354
0.0248344,3.6468802,4.0716968
0.0248476,3.6768728,4.0803139
0.0248599,3.7068655,4.0888871
0.024871,3.7368582,4.0974167
0.0248812,3.7668509,4.1059031
0.0248905,3.7968435,4.1143467
0.0248989,3.8268362,4.1227477
0.0249064,3.8568289,4.1311064
0.024913,3.8868216,4.1394234
0.024919,3.9168142,4.1476987
0.0249242,3.9468069,4.1559329
0.0249287,3.9767996,4.1641261
0.0249327,4.0067923,4.1722787
0.0249361,4.0367849,4.1803911
0.024939,4.0667776,4.1884635
0.0249414,4.0967703,4.1964962
0.0249433,4.126763,4.2044896
0.0249448,4.1567557,4.2124439
0.0249459,4.1867484,4.2203594
0.0249466,4.2167411,4.2282364
0.024947,4.2467338,4.2360752
0.024947,4.2767265,4.243876
0.0249468,4.3067192,4.2516393
0.0249463,4.336712,4.2593651
0.0249457,4.3667047,4.2670539
0.0249449,4.3966975,4.2747058
0.0249441,4.4266902,4.2823212
0.0249432,4.456683,4.2899003
0.0249423,4.4866757,4.2974433
0.0249414,4.5166685,4.3049505
0.0249407,4.5466613,4.3124223
